UniqueID,Class,Order,Family,ScientificName,CommonName,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,LengthInches,WingspanInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
B0001,Aves,Anseriformes,Anatidae,Aix sponsa,Wood Duck,37,COMMON - S,UNCOMMON - A,COMMON - S,RARE - S,UNCOMMON - S,,,,UNCOMMON - S,RARE - A,RARE - S/ UNCOMMON - S,COMMON - A,RARE - A,"Wooded swamps, rivers, ponds. Favors shallow inland lakes, ponds, slow-moving rivers, swamps, mainly those surrounded by deciduous or mixed woodland. Often in places where large trees overhang the water, creating shady conditions. Also in open marshes within generally forested country.",,,,,,,,
B0002,Aves,Anseriformes,Anatidae,Anas strepera,Gadwall,42,,OCCASIONAL - W,,COMMON - S,UNCOMMON - S,,,,OCCASIONAL - S,RARE - W,OCCASIONAL -/ RARE - A,RARE - A,OCCASIONAL - W,"Lakes, ponds, marshes. In summer mainly around fresh or alkaline lakes in prairie regions or western intermountain valleys where land is open, not forested; also locally in coastal marshes. In migration and winter on marshes, lakes, estuaries, but generally not on salt water.",,,,,,,,
B0003,Aves,Anseriformes,Anatidae,Aythya americana,Redhead,45,,,,UNCOMMON - S,RARE - S,,,,,,UNCOMMON - A/ OCCASIONAL - A,OCCASIONAL - W,,"Lakes, saltwater bays, estuaries; in summer, fresh marshes. For nesting season favors large marshes in prairies or intermountain valleys. Migrants gather on large lakes. In winter, mainly on coastal bays and lagoons, also on freshwater lakes inland.",,,,,,,,
B0004,Aves,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,46,COMMON - S,RARE - W,COMMON - S,COMMON - S,UNCOMMON - S,,,,UNCOMMON - S,UNCOMMON - W,UNCOMMON - W/ COMMON - W,OCCASIONAL - W,UNCOMMON - W,"Wooded lakes, ponds; in winter, also rivers, bays. In summer on freshwater marshes, ponds, and bogs, mainly in openings in forested country. In migration and winter on ponds, lakes, slow-moving rivers, sometimes on coastal estuaries, but generally not on saltwater bays.",,,,,,,,
B0005,Aves,Anseriformes,Anatidae,Aythya marila,Greater Scaup,47,,,COMMON - W,,,,,,,,UNCOMMON - W/ UNCOMMON - W,OCCASIONAL - W,,"Lakes, rivers, salt bays, estuaries. In summer on lakes and bogs in semi-open country near northern limits of boreal forest, and out onto tundra. In winter mainly on coastal bays, lagoons, estuaries; some on lakes inland. Overlaps with Lesser Scaup at all seasons, but in winter the Greater tends to be on more open bays, more exposed situations.",,,,,,,,
B0006,Aves,Anseriformes,Anatidae,Anas rubripes,American Black Duck,39,UNCOMMON - S,OCCASIONAL - W,ABUNDANT - A,,,,,,COMMON - S,,,,,"Marshes, bays, estuaries, ponds, rivers, lakes. Wide variety of aquatic habitats; found on lakes in northern forest and in salt marsh more often than most dabblers. Majority in winter in coastal estuaries and tidal marshes, lesser numbers on inland lakes, tree-lined ponds, wooded swamps.",,,,,,,,
B0007,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,38,COMMON - A,,COMMON - A,ABUNDANT - A,COMMON - A,,,,OCCASIONAL - A,,COMMON - A/ COMMON  - A,COMMON - A ,UNCOMMON - A,"Marshes, wooded swamps, grain fields, ponds, rivers, lakes, bays, city parks. May occur in any kind of aquatic habitat, but favors fresh water at all seasons; only sparingly on coastal waters, mainly in winter on sheltered bays and estuaries. Most abundant in summer on prairie potholes and in semi-open country north of the prairies. Most abundant in winter on swamps and lakes in lower Mississippi Valley.",,,,,,,,
B0008,Aves,Anseriformes,Anatidae,Spatula discors,Blue-Winged Teal,40,COMMON - S,,UNCOMMON - S,UNCOMMON - S,UNCOMMON - S,,,,UNCOMMON - S,COMMON - W,OCCASIONAL - S/ OCCASIONAL - S,,,"Fresh ponds, marshes. In summer on shallow freshwater marshes and ponds in open country, also brackish marshes near coast. In migration and winter on any kind of shallow waters, inland or coastal. Flocks in migration are sometimes seen over ocean, many miles offshore.",,,,,,,,
B0009,Aves,Anseriformes,Anatidae,Spatula cyanoptera,Cinnamon Teal,40,,,,COMMON - S,UNCOMMON - S,RARE - A,UNKNOWN - S,,,,RARE - S/ OCCASIONAL -  S,OCCASIONAL - A,RARE - S,"Marshes, fresh ponds. Favors fresh or alkaline shallow lakes, extensive marshes. Generally not in coastal salt marshes. In migration, may pause on any kind of small pond or reservoir. South American races may use wider variety of habitats.",,,,,,,,
B0010,Aves,Anseriformes,Anatidae,Spatula clypeata,Northern Shoveler,41,,,,COMMON - S,UNCOMMON - S,,,,,UNCOMMON - W,,,,"Marshes, ponds; in winter, also salt bays. In summer in open country such as prairie, marsh, or tundra, in vicinity of shallow water. In migration and winter on alkaline lakes, fresh marshes, tidal estuaries, or any shallow waters with extensive muddy margins, including stagnant or polluted waters not much favored by other ducks.",,,,,,,,
