UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,SizeMinimumInches,SizeMaximumInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
H0001,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus alleganiensis,Hellbender,24,269,,UNCOMMON,,,,,,,,,,,,"Clear fast-flowing streams and rivers with rocky bottoms. Hellbenders use large rocks, logs, and even some man made objects to hide under during the day. Stream substrates are gravel, as opposed to mud, which gives larval hellbenders more protection from predators.",12,29.125,"Fisherman often encounter Hellbenders while searching for insect bait under flat river rocks. Folklore has it that Hellbenders smear fishing lines with slime, drive game fish away, and inflict poisonous bites. In fact, they are harmless; they feed on crayfish, snails, and worms. Long-term survival threatened by dam construction and pollution. Hellbenders become active at duck and hunt until dawn. During the day, they burrow under large flat rocks at the bottom of streams. Typically forages food at night and uses a suction feeding behavior to help uproot crayfish from the muddy substrate that they inhabit.",Nocturnal,Spring Summer Fall Winter,Vulnerable,"Primarily eat crayfish as adults, but will eat insects, fish, and smaller salamanders as well.","Larval stages of hellbenders are most vulnerable to predation. Major predators on larva are large fish like smallmouth bass, banded sculpin, rainbow trout, and brown trout. Adult hellbenders are cryptic and have defenses against predators."
H0002,Amphibia,Caudata,Amphiumidae,Amphiuma means,Two-Toed Amphiuma,"15, 18",285,,,,,,,,,,ABUNDANT,,,,"Acid waters of swamps, bayous, and drainage ditches. Typically, they are found in very polluted waters, but they may also be found in clear streams. They may leave water on wet nights to travel to new areas.",18,45.75,"Nocturnal. Amphiumas are ill-tempered and can inflict a nasty bite. Their slippery skins make them difficult to handle. This species prowls shallows for crayfish, frogs, small snakes, and fish. It may leave water temporarily if weather is wet enough. For shelter it digs burrows in muddy bottoms or invades the burrows of other marine creatures. They are ambush predators, using a sit-and-wait feeding strategy.",Nocturnal,Spring Summer Fall Winter,Least Concern,"They are ambush predators, using a sit and wait feeding strategy. Adults feed on a variety of aquatic insects, including adults and larvae. Prey items include dragonflies, water striders, and predaceous diving beetles. They also feed on amphibians.","Snakes, birds, and mammals. They are nocturnal and typically inhabit dense vegetation, both of which are adaptations that help them avoid predation. They will also bite in self defense."
H0003,Amphibia,Caudata,Sirenidae,Siren lacertina,Greater Siren,14,273,,,,,,,,,,UNCOMMON,,,,"Shallow, muddy-bottomed, weed-choked water. They prefer the shelter of heavily vegetated swamps, ponds, and ditches, but are also found in streams and large lakes. Adults spend the majority of their time near the bottom of pools, entwined in plant roots and branches, or under sunken logs. ",19.75,38.5,"Nocturnal. Sirens spend the day under debris or rocks, burrowed in mud or thick vegetation. Young are often seen amid water hyacinth roots. Adults are sometimes caught at night by bait fisherman. When drought dries up their habitat, sirens aestivate in mud burrows; their skin glands secrete a moisture-sealing cocoon over the body. They eat snails, insect larvae, small fish, and aquatic plants.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Primarily carnivorous. Preys on insects, crustaceans, gastropods, bivalves, spiders, mollusks, crayfish, and small fish.","Alligators. To avoid predation, they use their muscular tails to make a hasty getaway. As a last resort, they can deliver a painful bite to ward off predators."
H0004,Amphibia,Caudata,Sirenidae,Pseudobranchus striatus,Dwarf Siren,17,271,,,,,,,,,,UNCOMMON,,,,"Shallow ditches, cypress swamps, weed-choked ponds, especially where there is water-hyacinth.",4,9.875,"Secretive. They dwell among water-hyacinth roots and amid debris at pond bottom, feeding on tiny invertebrates. During droughts they encase themselves in mud beneath the pond bottom. When caught, they make faint yelping noises.",Nocturnal,Spring Summer Fall Winter,Least Concern,They feed on tiny invertebrates.,Alligators and snakes.
H0005,Amphibia,Caudata,Salamandridae,Notophthalmus viridescens,Eastern Newt,"26, 27, 29, 30",276,UNKNOWN,COMMON,UNCOMMON,,,,,,UNKNOWN,ABUNDANT,,,,"Ponds and lakes with dense submerged vegetation, quiet stretches or backwaters of streams, swamps, ditches, and neighboring damp woodlands. FL: Flatwoods, hammock ponds, and drainage ditches. Inhabit both deciduous and coniferous forests. Adults can survive on land if their aquatic habitat becomes unsuitable.",2.625,5.5,"Adult newts are often seen foraging in shallow water. They prey voraciously on worms, insects, small crustaceans and molluscs, amphibian eggs, and larvae. Searching for eggs, they visit the spawning beds of fish. Newts secrete toxic substances through the skin and so are avoided by fish and other predators. Efts can be found on the forest floor after a shower. A hungry one may consume 2000 springtails.","Eft Nocturnal, Adult All",Spring Summer Fall,Least Concern,"Larvae eat small invertebrates including water fleas, snails, and beetle larvae. Terrestrial efts eat small invertebrates, including springtails and mites. Adults eat midge larva or any small invertebrates.","Birds, mammal, fish, and other amphibians. However, many of them are deterred by the newt's toxic skin secretions."
H0006,Amphibia,Caudata,Salamandridae,Taricha torosa,California Newt,"32, 33",280,,,,,,,,,,,,,,"Quiet streams, ponds, and lakes and surrounding evergreen and oak forests along coast. Fast-moving streams through digger pine and blue oak communities in Sierra Nevada foothills.",5,7.75,"During rainy season it may be seen abroad during the day. Dry periods are passed under moist forest litter and in rodent burrows. Like other Pacific newts, this species strikes a warning posture when threatened, revealing its brightly colored underbelly.",Any,Spring Fall Winter,Near Threatened,"Earthworms, snails, slugs, and sowbugs. Known to cannibalize their own eggs and larvae.",Crayfish and mosquitofish.
H0007,Amphibia,Caudata,Salamandridae,Taricha granulosa,Rough-Skinned Newt,"31, 35",278,,,,,,,,,,,UNCOMMON / UNCOMMON,COMMON,,"Ponds, lakes, and slow-moving streams with submerged vegetation and adjacent humid forests or grasslands. On land, newts can usually be found under pieces of rotting wood on forested hills or mountains.",5,8.5,"Most aquatic Pacific newt. On land it may be seen wandering abroad on cool humid days, searching for invertebrates. When threatened, it strikes a warning posture.",Any,Spring Summer Fall,Least Concern,"Small aquatic invertebrates, snails, insects, and other amphibians.","Common garter snakes, which seem to be immune to their toxicity."
H0008,Amphibia,Caudata,Proteidae,Necturus maculosus,Mudpuppy,"16, 20",283,UNKNOWN,RARE,,,,,,,,,,,,"Lakes, rivers, and streams of all descriptions, from muddy, weed-choked shallows to a record depth of 90ft in Lake Michigan.",8,17,"Animals from cold, clear, highly oxygenated water have short gills; those from warm, muddy water, long bushy gills. Nocturnal; feeds on worms, crayfish, insects, and small fish.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Opportunistic feeders. Crayfish are a major part of their diet. They will also eat insect larvae, small fish, fish eggs, worms, snails, and other amphibians.","Large  fish, water snakes, and wading birds such as herons. They avoid predation by hiding under logs, rocks, or thick vegetation."
H0009,Amphibia,Caudata,Ambystomidae,Ambystoma laterale,Blue-Spotted Salamander,58,292,UNKNOWN,,,,,,,,COMMON,,,,,"Deciduous and coniferous forests. They are most abundant in moist woodlands with sandy soil. During the day, they stay undercover out of the direct sunlight. They spend the summer and fall in damp forests, searching for food at night.",3,5,They migrate to the breeding ponds when warm evening rains start and warming temperatures and rapid snowmelt. The blue-spotted salamander holds the tail up and curved over the body when it is alarmed.,Nocturnal,Spring Summer Fall,Least Concern,"Adults eat worms, snails, slugs, insects, centipedes, spiders, and other invertebrates.","Birds, raccoons, fish, and snakes."
H0010,Amphibia,Caudata,Ambystomidae,Ambystoma macrodactylum,Long-toed Salamander,"49, 50, 52, 53",293,,,,,COMMON,,,,,,COMMON / COMMON,,,"Typically inhabit streams, limestone seeps, springs, caves, mines, wet shale banks, and ponds. Larvae grow in aquatic environments, such as streams, ponds, or cave pools, while adults are typically terrestrial, found underneath rocks, crevices, and stone fragments near the margins of streams.",4,6.625,"Usually seen under logs or debris near pools, it sometimes shares breeding sites with the Northwestern Salamander. During periods of heavy rain, adults migrate uphill.",Nocturnal,Spring Summer Fall,Least Concern,"Both aquatic larvae and terrestrial adults are carnivorous. The larvae eat small aquatic insects and arthropods. The adults also prey upon tree frog tadpoles, earthworms, slugs and various terrestrial insects.","They are preyed upon by garter snakes, small mammals, birds, and fish."
