UniqueID,Class,Order,Family,ScientificName,CommonName,REF NWF,REF AUD,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,SizeMinimumInches,SizeMaximumInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
I0001,Entognatha,Collembola,Neanuridae,Anurida maritima,Seashore Springtail,53,"73, 343",,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,"Beach litter between tidemarks, under rocks, or in surface of film of tide pools.",,,,,,,,
I0002,Entognatha,Collembola,Poduridae,Podura aquatica,Water Springtail,53,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Found on ponds and lakes and long the edges of slow-moving streams.,,,,,,,,
I0003,Entognatha,Diplura,Japygidae,Metajapyx sp,Japygid Diplurans,54,"83, 348",UNKNOWN,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,UNKNOWN,,,,"Lives under leaves, stones, or logs on the ground, or under bark.",,,,,,,,
I0004,Insecta,Microcoryphia,Machilidae,Pedetontus sp,Jumping Bristletails,55,"86, 350",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,In leaf litter and on rocks.,,,,,,,,
I0005,Insecta,Thysanura,Lepismatidae,Lepisoma saccharina,Silverfish,56,"87, 352",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Indoors in warm, dry or damp places, including closets, bookcases, behind baseboards or in bathtubs.",,,,,,,,
I0006,Insecta,Thysanura,Lepismatidae,Thermobia domestica,Firebrat,57,"85, 353",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Indoors near warm places, such as ovens, heating pipes and furnaces.",,,,,,,,
I0007,Insecta,Ephemeroptera,Ephemeridae,Ephemera guttulata,Coffinfly,59,"393, 360",UNKNOWN,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,UNKNOWN,,,,Near shallow lakes and quiet bays of rivers with sandy or silty bottoms.,,,,,,,,
I0008,Insecta,Ephemeroptera,Ephemeridae,Hexagenia limbata,Giant Mayfly,59,"392, 361",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Near large rivers and quiet lakes with sandy or silty bottoms.,,,,,,,,
I0009,Insecta,Ephemeroptera,Baetidae,Callibaetis picta,Small Minnow Mayfly,59,"396, 356",,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,Near shallow flowing water.,,,,,,,,
I0010,Insecta,Odonata,Aeshnidae,Anax junius,Common Green Darter,62,"343 346, 364",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Near ponds and slow streams. Often perch low in foliage around ponds and other still or slow-moving waters that are fringed with vegetation. Less common in the west.,,,,,,,,
I0011,Insecta,Odonata,Aeshnidae,Anax walsinghami,Giant Darner,62,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,"Found in arid, open country. Females prefer to lay their eggs in ponds, marshes, and canyon streams.",,,,,,,,
I0012,Insecta,Odonata,Aeshnidae,Rhionaeschna multicolor,Blue-Eyed Darner,62,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,"Females prefer to lay their eggs in warm swamps, ponds, lakes, and other standing waters with emergent and floating vegetation and also along slow-moving streams.",,,,,,,,
I0013,Insecta,Odonata,Gomphidae,Progomphus obscurus,Common Sanddragon,63,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,UNKNOWN,,,,"Can be found by streams, creeks, and small rivers, flying over and around the water in search of prey. It rests on rocks, boulders, logs, or branches.",,,,,,,,
I0014,Insecta,Odonata,Cordulegastridae,Cordulegaster dorsalis,Pacific Spiketail,63,"368, 368",,,,UNKNOWN,UNKNOWN,,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,Near  woodland streams.,,,,,,,,
I0015,Insecta,Odonata,Libellulidae,Libellula lydia,Common Whitetail,64,"347, 378",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Near ponds, slow streams, sheltered bays, and reedy shallows. Common and widespread found around standing water and slow-moving streams with muddy bottoms",,,,,,,,
I0016,Insecta,Odonata,Libellulidae,Libellula pulchella,Twelve-Spotted Skimmer,64,"348, 373",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,"Near ponds or broad, slow regions of rivers. Live around ponds and marshes and along slow-moving streams where there is abundant emergent vegetation.",,,,,,,,
I0017,Insecta,Odonata,Libellulidae,Libellula saturata,Flame Skimmer,65,"360 376, 374",,,,UNKNOWN,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,Stagnant small ponds and pools.,,,,,,,,
I0018,Insecta,Odonata,Libellulidae,Erythrodiplax berenice,Seaside Dragonlet,65,,,,UNKNOWN,,,,,,,UNKNOWN,,,,Found along eastern coastlines and in salt marshes and mangrove swamps.,,,,,,,,
I0019,Insecta,Odonata,Libellulidae,Pachydiplax longipennis,Blue Dasher,66,"349, 375",UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Large ponds and broad streams. Marshes and swamps.,,,,,,,,
I0020,Insecta,Odonata,Libellulidae,Celithemis eponina,Halloween Pennant,67,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,UNKNOWN,,,,"Found near ponds, lakes, marshes, and slow-moving streams bordered with emergent plant growth.",,,,,,,,
I0021,Insecta,Odonata,Libellulidae,Sympetrum corruptum,Variegated Meadowhawk,68,"370, 378",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Ponds and slow streams, especially with sandy or gravelly shores.",,,,,,,,
I0022,Insecta,Odonata,Libellulidae,Tramea lacerata,Black Saddlebags,68,"363, 380",UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Slow broad rivers with quiet backwaters full of submerged vegetation. Ditches, lakes, marshes, ponds, slow-moving streams.",,,,,,,,
I0023,Insecta,Odonata,Calopterygidae,Calopteryx maculata,Ebony Jewelwing,69,"366, 382",UNKNOWN,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,UNKNOWN,,,,Along edges of slow streams in forests. ,,,,,,,,
I0024,Insecta,Odonata,Calopterygidae,Hetaerina americana,American Redspot,69,"357, 383",UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,Near streams in woods and forests.,,,,,,,,
I0025,Insecta,Odonata,Coenagrionidae,Argia apicalis,Blue-fronted Dancer,71,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,,,,Commonly found near streams and ponds but may also be seen along riverbanks.,,,,,,,,
I0026,Insecta,Odonata,Coenagrionidae,Argia lugens,Sooty Dancer,71,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,"Usually found along gravelly streambeds and small, rocky rivers.",,,,,,,,
