UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,Measurements,Sign,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
M0001,Mammalia,Didelphimorphia,Didelphidae,Didelphis virginiana,Virginia Opossum,234 - 238,274,COMMON,COMMON,,,,,,,,UNCOMMON,N / COMMON,COMMON,,"Deciduous forests, open woods, brushy wastelands, and farmlands",,,,,,,,
M0002,Mammalia,Soricomorpha,Soricidae,Sorex bendirii,Pacific Water Shrew,1,281,,,,,,,,,,,RARE / RARE,RARE,,Marshes and streamsides; sometimes moist forests.,,,,,,,,
M0003,Mammalia,Soricomorpha,Soricidae,Sorex cinereus,Masked Shrew,2,282,COMMON,COMMON,ABUNDANT,COMMON/COMMON,COMMON,,,,,,RARE / RARE,,,"Most common in moist fields, bogs, marshes, and moist woods. ",,,,,,,,
M0004,Mammalia,Soricomorpha,Soricidae,Sorex monticolus,Dusky Shrew,,290,,,,UNCOMMON/COMMON,COMMON,,UNCOMMON,,,,COMMON / COMMON,,COMMON,Forests near streams; wet meadows with sedges or willows.,,,,,,,,
M0005,Mammalia,Soricomorpha,Soricidae,Sorex palustris,Water Shrew,,293,UNCOMMON,RARE,UNCOMMON,UNCOMMON,UNCOMMON,,UNCOMMON,,,,UNCOMMON/ UNCOMMON,,RARE,"Among boulders along mountain streams, or in sphagnum moss along lakes.",,,,,,,,
M0006,Mammalia,Soricomorpha,Soricidae,Sorex trowbridgii,Trowbridges Shrew,9,295,,,,,,,,,,,COMMON / COMMON,UNCOMMON,RARE,Mature forests of West Coast.,,,,,,,,
M0007,Mammalia,Soricomorpha,Soricidae,Sorex vagrans,Wandering Shrew,10,297,,,,N/UNCOMMON,COMMON,,,,,,COMMON / COMMON,UNKNOWN,,Mixed forests.,,,,,,,,
M0008,Mammalia,Soricomorpha,Soricidae,Sorex hoyi,Pygmy Shrew,5,286,UNKNOWN,UNCOMMON,COMMON,,UNKNOWN,,,,,,,,,"Deep woods; open, brushy fields; moist sphagnum moss bogs.",,,,,,,,
M0009,Mammalia,Soricomorpha,Soricidae,Blarina brevicauda,Northern Short-Tailed Shrew,"11, 12",298,COMMON,COMMON,UNCOMMON,,,,,,,,,,,"A variety of habitats. In north, more confined to woods and wet areas.",,,,,,,,
M0010,Mammalia,Soricomorpha,Soricidae,Notiosorex crawfordi,Desert Shrew,15,301,,,,,,RARE,UNKNOWN,UNKNOWN,,,,,,"Arid regions, especially in areas dominated by sagebrush and prickly pear. Sometimes found in woodrat nests or in large masses of vegetation at the base of agave, cactus, or other plants in desert areas.",,,,,,,,
M0011,Mammalia,Soricomorpha,Talpidae,Scapanus orarius,Coast Mole,17,305,,,,,,,,,,,UNCOMMON / COMMON,UNKNOWN,,Moist deciduous woods.,,,,,,,,
M0012,Mammalia,Soricomorpha,Talpidae,Scalopus aquaticus,Eastern Mole,21 22,308,COMMON,UNCOMMON,,,,,,,,UNKNOWN,,,,"Open fields, waste areas, and sometimes woods, in well-drained soils.",,,,,,,,
M0013,Mammalia,Soricomorpha,Talpidae,Condylura cristata,StarNosed Mole,19 20,309,UNCOMMON ,RARE,COMMON,,,,,,,,,,,"Wet woods, fields, or swamps; sometimes relatively dry areas",,,,,,,,
M0014,Mammalia,Chiroptera,Phyllostomidae,Macrotus californicus,California Leaf-Nosed Bat,24,317,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,"Desert scrub. By day, roosts in abandoned mine tunnels.",,,,,,,,
M0015,Mammalia,Chiroptera,Vespertilionidae,Myotis californicus,California Myotis,29,327,,,,,,COMMON,UNKNOWN,UNKNOWN,,,,,,"Desert to semi-desert areas; in Southwest, rocky canyons.",,,,,,,,
