Amphibia,Amphibians
Malacostraca,Soft Shell Crustaceans
Reptilia,Reptiles
Polyplacophora,Chitons
Clitellata,Annelid worms with a Clitellum collar
Actinopterygii,Ray-Finned Fish
Asteroidea,Starfish or Sea Stars
Holothuroidea,Sea Cucumbers
Bivalvia,Bivalve Molluscs
Gastropoda,Slugs and Snails
Thecostraca,Barnacles
Diplopoda,Millipedes
Aves,Birds
Hexacorallia,Anemones
Mammalia,Mammals
Echinoidea,Sea Urchins
Brachiopoda,Shrimp
Scyphozoa,True Jellyfish
Chondrichthyes,Cartilaginous fishes
Chilopoda,Centipedes
Insecta,Insects
Cephalospidomorphi,"Lampreys, "
Entognatha,Springtails and Diplurans
Chelicerata,Arachnids
