Accipitridae,"Harriers, Kites, Hawks, & Eagles"
Acipenseridae,Sturgeons
Acrididae,Grasshoppers
Actiniidae,Anemones
Aeolidiidae,Sea Slugs
Aeshnidae,Darners
Alaudidae,Larks
Alcedinidae,Kingfishers
Alcidae,"Puffins, Murres, & Auks"
Alligatoridae,"Alligators, Crocodiles, & Caimans"
Ambystomidae,Mole Salamanders
Amiidae,Bowfins
Amphiumidae,Amphiumas
Anatidae,"Ducks, Geese, & Swans"
Andrenidae,Andrenid Bees
Anguidae,Alligator & Glass Lizards
Anguillidae,Freshwater Eels
Anhingidae,Anhingas & Darters
Antennariidae,Frogfish
Antilocapridae,Pronghorn
Aphididae,Aphids
Aphrophoridae,Spittlebugs
Apidae,Bees
Aplocheilidae,Rivulines
Apodidae,Swifts
Araneidae,Orbweavers
Arctiidae,Tiger Moths
Ardeidae,"Herons, Egrets, & Bitterns"
Ariidae,Sea Catfish
Arionidae,Land Slugs
Armadillodiidae,Pillbugs
Ascipenseridae,Sturgeons
Asilidae,Robber Flies
Asteriidae,Sea Stars
Atherinopsidae,New  World Silversides
Atyidae,Shrimp
Aulorhynchidae,Tubesnouts
Baetidae,Small Minnow Mayflies
Balaenopteridae,Rorqual Whales
Balanidae,Barnacles
Batrachoididae,Toadfishes
Belostomatidae,Giant Water Bugs
Bittacidae,Hangingflies
Boidae,Boas
Bombycidae,Silk Moths
Bombycillidae,Waxings
Bombyliidae,Bee Flies
Bostrichidae,Bostrichid Beetles
Bovidae,Cloven-Hoofed Ruminants
Buccinidae,Sea Snails
Bufonidae,Toads
Buprestidae,Jewel Beetles
Buthidae,Buthid Scorpions
Cadlinidae,Sea Slugs
Calopterygidae,Broad-Winged Damsels
Cambaridae,Crayfish
Cancridae,Crabs
Canidae,"Wolves, Foxes, & Coyotes"
Cantharidae,Soldier Beetles
Caprimulgidae,Nightjars
Carabidae,Ground Beetles
Caraboctonidae,Caraboctonid Scorpions
Carangidae,Jacks
Carcharhinidae,Requiem Sharks
Cardinalidae,Cardinals
Castoridae,Beavers
Cathartidae,New World Vultures
Catostomidae,Suckers
Centrarchidae,Sunfish
Cerambycidae,Longhorn Beetles
Certhiidae,Treecreepers
Cervidae,Deer
Cetorhinidae,Basking Sharks
Chactidae,Chactid Scorpions
Chaetodontidae,Butterfly Fish
Charadriidae,Plovers & Killdeer
Chelonidae,Sea Turtles
Chelydridae,Snapping Turtles
Chernetidae,Pseudoscorpions
Chimaeridae,Shortnose Chimaeras
Chrysomelidae,Leaf Beetles
Chrysopidae,Green Lacewings
Cicadellidae,Leafhoppers
Cicadidae,Cicadas
Cichlidae,Cichlids
Ciconiidae,Storks
Cinclidae,Dippers
Clupeidae,Herrings
Coccinellidae,Lady Beetles
Coenagrionidae,Pond Damsels
Colubridae,Colubrids
Columbidae,Doves
Cordulegastridae,Spiketails
Coreidae,Leaf-footed Bugs
Corixidae,Water Boatmen
Corvidae,"Crows, Ravens, & Jays"
Corydalidae,Dobsonflies & Fishflies
Cossidae,Carpenterworms
Cottidae,Sculpins
Crangonidae,Shrimp
Cricetidae,"New World Rats & Mice, Voles, & Lemmings"
Crotaphytidae,Collared Lizards
Cryptobranchidae,Giant Salamanders
Ctenizidae,Trapdoor Spiders
Cucujidae,Flat Bark Beetles
Cuculidae,Cuckoos & Roadrunners
Cucumariidae,Sea Cucumbers
Culicidae,Mosquitos
Curculionidae,Weevils & Bark Beetles
Cyprinidae,Minnows & Carps
Cyprinodontidae,Pupfish
Dactylipteridae,Flying Gurnards
Dactyloidae,Anoles
Dactylopteridae,Flying Gurnards
Dasyatidae,Whiptail Stingrays
Delphinidae,Oceanic Dolphins
Dendronotidae,Sea Slugs
Dermochelyidae,Leatherback Turtles
Dictyopharidae,Fulgorid Planthoppers
Didelphidae,Opossums
Diodontidae,Porcupinefish
Dipodidae,Jumping Mice
Dironidae,Sea Slugs
Drepanidae,Hooktip Moths
Dysderidae,Dysderid Spiders
Dytiscidae,Predaceous Diving Beetles
Echeneidae,Remoras
Elapidae,Elapid Snakes
Elassomatidae,Pygmy Sunfishes
Elateridae,Click Beetles
Eleotridae,Sleepers
Eleutherodactylidae,Rain Frogs
Embiotocidae,Surfperches
Emydidae,Pond Turtles
Engraulidae,Anchovies
Ephemeridae,Burrowing Mayflies
Epialtidae,Crabs
Eremobatidae,Windscorpions
Erethizontidae,Porcupine
Eschrichtiidae,Gray Whales
Esocidae,Pike
Facelinidae,Sea Slugs
Falconidae,Falcons
Felidae,Cats
Flatidae,Flatid Planthoppers
Forficulidae,European Earwigs
Formicidae,Ants
Fregatidae,Frigatebirds
Fringillidae,Finches
Fundulidae,Topminnows
Gasterosteidae,Sticklebacks
Gaviidae,Loons
Gecarcinidae,Crabs
Gekkonidae,Geckos
Geometridae,Measuringworm Moths
Geomyidae,Gophers
Geotrupidae,Earth-boring Beetles
Gerridae,Water Striders
Ginglymostomatidae,Nurse Sharks
Gobiidae,Gobies
Gomphidae,Clubtails
Grapsidae,Crabs
Gruidae,Cranes
Gryllidae,True Crickets
Gryllotalpidae,Mole Crickets
Gyrinidae,Whirlygig Beetles
Haematopodidae,Oystercatchers
Haemulidae,Grunts
Helodermatidae,Beaded Lizards
Hesperiidae,Skippers
Heteromyidae,"Kangaroo Rats, Kangaroo Mice, & Pocket Mice"
Heteronemiidae,Stick Insects
Hexagrammidae,Greenlings
Hexanchidae,Cow Sharks
Hippidae,Crabs
Hirudinidae,Leeches
Hirundinidae,Swallows & Martins
Hydrophilidae,Water Scavenger Beetles
Hydropsychidae,Net-Spinning Caddisflies
Hylidae,Hylid & Tree Frogs
Ichneumonidae,Ichneumon Wasps
Ictaluridae,North American Catfish
Icteridae,New World Blackbirds
Iguanidae,Iguanas & Chuckwallas
Inocellidae,Snakeflies
Ischnochitonidae,Chitons
Ixodidae,Hardbacked Ticks
Japygidae,Japygids
Kinosternidae,Mud & Musk Turtles
Lamnidae,Mackerel Sharks
Lampyridae,Fireflies
Laniidae,Shrikes
Largidae,Largid Bugs
Laridae,Gulls & Terns
Lasiocampidae,Tent Caterpillar Moths
Leiopelmatidae,Tailed Frogs
Lepismatidae,Silverfish & Firebrats
Lepisosteidae,Gars
Leporidae,Rabbits & Hares
Leuciscidae,True Minnows
Libellulidae,Skimmers
Limacodidae,Slug Caterpillar Moths
Limnadiidae,Clam Shrimps
Limnephilidae,Casemaker Caddisflies
Linyphiidae,Sheetweb Spiders
Littorinidae,Sea Snails
Lobotidae,Tripletails
Lotidae,Burbots
Lottiidae,True Limpets
Lucanidae,Stag Beetles
Lutjanidae,Snappers
Lycaenidae,Gossamer-Wing Butterflies
Lycidae,Net-winged Beetles
Lycosidae,Wolf Spiders
Lygaeidae,Seed Bugs
Machilidae,Jumping Bristletails
Mantidae,Mantids
Mantispidae,Mantidflies
Megalopidae,Tarpons
Meloidae,Blister Beetles
Membracidae,Treehoppers
Mephitidae,Skunks
Microhylidae,Microhylid Frogs
Mimidae,"Thrashers, Mockinbirds, & Catbirds"
Miridae,Plant Bugs
Mobulidae,Manta Rays
Mopaliidae,Chitons
Mugilidae,Mullets
Muraenidae,Moray Eels
Muricidae,Sea Snails
Mustelidae,Mustelids
Mutillidae,Velvet Ants
Mydidae,Mydas Flies
Myliobatidae,Eagle Rays
Myrmeleontidae,Antlions
Mytilidae,Mussels
Narcinidae,Electric Rays
Naucoridae,Creeping Water Bugs
Neanuridae,Springtails
Nepidae,Water Scorpions
Noctuidae,Owlet Moths
Notonectidae,Backswimmers
Nymphalidae,Brushfooted Butterflies
Ochotonidae,Pikas
Octopoda,Octopus
Odontophoridae,New World Quail
Opisthopora,Terrestrial Worms
Oregoniidae,Crabs
Osmeridae,Smelts
Otariidae,Eared Seals
Paguridae,Crabs
Palaemonidae,Shrimp
Pandionidae,Osprey
Papilionidae,Parnassians & Swallowtails
Paridae,"Chickadees, Tits, & Titmice"
Parulidae,New World Warblers
Passerellidae,New World Sparrows
Pediciidae,Crane Flies
Pelagiidae,Jellyfish
Pelecanidae,Pelicans
Pelobatidae,Spadefoots
Pentatomidae,Shield & Stink Bugs
Percidae,Perches
Percopsidae,Trout Perches
Petromyzontidae,Lampreys
Phalacrocoracidae,Cormorants
Phalangiidae,Harvestmen
Phasianidae,"Pheasants, Partridges, Grouse, & Turkey"
Philodromidae,Philodromid Crab Spiders
Phocidae,Hair Seals
Phocoenidae,Porpoises
Pholidae,Gunnels
Phrynidae,Phrynid Tailless Whipscorpions
Phrynosomatidae,Spiny Lizards
Phyllostomidae,New World Fruit Bats
Picidae,Woodpeckers
